name,image_url,category,price,stock,description
Checked Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20220309/inTn/6227b81faeb26921afcde577/-286Wx359H-441137362-white-MODEL.jpg,Men,699,100,Checked Polo T-shirt
Tapered Fit Flat-Front Trousers,https://assets.ajio.com/medias/sys_master/root/20210907/vQKt/6136775cf997ddce89bddeea/-286Wx359H-441124497-navy-MODEL.jpg,Men,"1,499",100,Tapered Fit Flat-Front Trousers
Striped Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20211228/s1km/61ca36a4aeb26901101f7552/-286Wx359H-460453612-white-MODEL.jpg,Men,"1,649",100,Striped Slim Fit Shirt with Patch Pocket
Heathered Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220120/lLur/61e981aef997dd66232f4792/-286Wx359H-441036730-charcoal-MODEL.jpg,Men,599,100,Heathered Crew-Neck T-shirt
Washed Skinny Fit Jeans with Whiskers,https://assets.ajio.com/medias/sys_master/root/20210728/I1Im/61005afff997ddb3123c0416/-286Wx359H-441128531-jetblack-MODEL.jpg,Men,999,100,Washed Skinny Fit Jeans with Whiskers
Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210421/ZxwY/607fbcdbaeb269a9e39a679a/-286Wx359H-462323964-olive-MODEL.jpg,Men,"1,849",100,Slim Fit Shirt with Patch Pocket
Striped Slim Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20210403/ywxs/60686961f997dd7b645dbef7/-286Wx359H-461119026-black-MODEL.jpg,Men,"2,499",100,Striped Slim Fit Shirt
Track Pants with Contrast Taping,https://assets.ajio.com/medias/sys_master/root/hfd/h39/15879850000414/-286Wx359H-441031716-ltblue-MODEL.jpg,Men,499,100,Track Pants with Contrast Taping
Fastdry Active Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220125/5ENA/61eef659aeb2695cdd2acad3/-286Wx359H-441128501-jetblack-MODEL.jpg,Men,499,100,Fastdry Active Crew-Neck T-shirt
Pack of 2 Shorts with Insert Pocket,https://assets.ajio.com/medias/sys_master/root/20220519/oL6x/62863a81f997dd03e2f30033/-286Wx359H-461730457-black-MODEL.jpg,Men,"1,998",100,Pack of 2 Shorts with Insert Pocket
Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210316/TIPl/604faba1f997dd5c4011349d/-286Wx359H-460698898-navy-MODEL.jpg,Men,"1,749",100,Checked Slim Fit Shirt with Patch Pocket
Striped Regular Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20220425/tUDF/626631e4aeb26921af3ed44f/-286Wx359H-463611345-white-MODEL.jpg,Men,"1,499",100,Striped Regular Fit Shirt
Heathered Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/h97/h0d/13480454914078/-286Wx359H-441000453-red-MODEL.jpg,Men,399,100,Heathered Crew-Neck T-shirt
Leaf Print Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220224/uLAB/62168f18f997dd03e2ebc98e/-286Wx359H-441136451-mintgreen-MODEL.jpg,Men,999,100,Leaf Print Shirt with Patch Pocket
Leaf Print Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20220301/DDoY/621e35edaeb26921afbf005b/-286Wx359H-441137352-olive-MODEL.jpg,Men,699,100,Leaf Print Polo T-shirt
Slim Fit Flat-Front Chinos with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210731/nfti/61044ac9aeb269a9e35b7b4e/-286Wx359H-441121060-green-MODEL.jpg,Men,"1,299",100,Slim Fit Flat-Front Chinos with Insert Pockets
Mid-Rise Flat-Front Cropped Slim Fit Chinos,https://assets.ajio.com/medias/sys_master/root/20210803/yCZG/610844f1aeb269a9e35ea573/-286Wx359H-441121060-ltgrey-MODEL.jpg,Men,"1,299",100,Mid-Rise Flat-Front Cropped Slim Fit Chinos
Heathered Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/hf3/h40/15590223183902/-286Wx359H-441000674-maroon-MODEL.jpg,Men,599,100,Heathered Polo T-shirt
Mid-Rise Shorts with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/h12/h80/12259160850462/-286Wx359H-440929331-navy-MODEL.jpg,Men,299,100,Mid-Rise Shorts with Insert Pockets
